#------------------------------------------------------------------------------		
#		
# GENERIC WORDS, sorted alphabetically		
#		
#------------------------------------------------------------------------------		
		
action	Action	Aktion
onboarding.tutorial.with.azure_pipelines.ServiceEndpoint.step4.sentence	Enter your SonarQube server url: {url} {button}	Geben Sie Ihre Sonarqube Server-URL: {url} {Taste}
onboarding.tutorial.with.azure_pipelines.ServiceEndpoint.step5.sentence	Enter an existing token, or a newly generated one	Geben Sie einen vorhandenen Token oder eine neu generierte ein
onboarding.tutorial.with.azure_pipelines.ServiceEndpoint.step6.sentence	Create the service connection	Erstellen Sie die Service-Verbindung
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.title	Configure analysis	konfigurieren Analyse
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.info	The following steps assume you are using the Azure Pipelines classic editor. Check out our {doc_link} for the YAML counterpart.	Die folgenden Schritte setzen voraus Sie die Azure Pipelines klassischen Editor verwenden. Sehen Sie sich unsere {doc_link} für das YAML-Pendant.
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.info.doc_link	Azure DevOps integration page	Azure DevOps Integration Seite
		
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.build_wrapper.ccpp.sentence	In Azure DevOps, create or edit a build {pipeline} to make Build Wrapper available on the build agent.	In Azure DevOps, erstellen oder bearbeiten einen Build {Pipeline} zu bauen Wrapper auf dem Build-Agenten zu machen.
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.build_wrapper.ccpp.script.sentence	Add a {task} task, select {inline} mode and add the following script to download and decompress the Build Wrapper on the build agent.	Fügen Sie eine {Aufgabe} Aufgabe, wählen Sie {inline} Modus und fügen Sie das folgende Skript zum Download und entpacken Sie die Build-Wrapper auf dem Build-Agent.
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.build_wrapper.ccpp.win.sentence.task	PowerShell script	Powershell-Skript
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.build_wrapper.ccpp.nix.sentence.task	Bash script	bash-Skript
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.build_wrapper.ccpp.win.sentence.inline	inline	im Einklang
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.build_wrapper.ccpp.nix.sentence.inline	inline	im Einklang
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.ccpp.sentence	Add a new {task} task {before} your build task	Fügen Sie eine neue {Aufgabe} Aufgabe {vor} Ihrer Build-Task
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare_additional.ccpp	In {additional} in the {advanced} section, add a new property to set the output directory to which the Build Wrapper should write its results: {property} {button}	In {zusätzlichen} im {} erweiterte Abschnitt, fügen Sie eine neue Eigenschaft das Ausgabeverzeichnis zu setzen, auf die die Build-Wrapper sollte ihre Ergebnisse schreiben: {Eigenschaft} {Taste}
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare_additional.ccpp.additional	Additional Properties	Weitere Eigenschaften
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare_additional.ccpp.advanced	Advanced	fortgeschritten
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.build.ccpp.sentence	Add or modify your build {task} task. For the analysis to happen, your build has to be run through a command line so that it can be wrapped-up by the build-wrapper.	Hinzufügen oder Ändern von Build {Aufgabe} Aufgabe. Für die Analyse passieren hat Build durch eine Befehlszeile ausgeführt werden, so dass sie von der Build-Umhüllung eingehüllt-up werden können.
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.build.ccpp.sentence.task	Command Line	Befehlszeile
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.build_script.ccpp.sentence	Run {build_wrapper} executable. Pass in as the arguments (1) the output directory configured in the previous task and (2) the command that runs a clean build of your project (not an incremental build). Example:	Run {build_wrapper} ausführbar. Der Pass in die Argumente wie (1) das Ausgabeverzeichnis in der vorherigen Aufgabe konfiguriert und (2) den Befehl, der eine Neu-Erstellung des Projekts läuft (nicht ein inkrementeller build). Beispiel:
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.build_script.ccpp.sentence.build_wrapper	Build Wrapper	Build Wrapper
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.run.ccpp.sentence	Add a new {task} task {after} your build task. Consider running this task right after the previous one as the build environment should not be significantly altered before running the analysis.	Fügen Sie eine neue {Aufgabe} Aufgabe {nach} Ihrer Build-Task. Betrachten Sie diese Aufgabe ausgeführt wird direkt nach dem vorherigen als Build-Umgebung sollte nicht wesentlich verändert werden, bevor die Analyse ausgeführt wird.
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.sentence	In Azure DevOps, create or edit a build {pipeline} and add a new {task} task {before} your build task	In Azure DevOps, erstellen oder bearbeiten einen Build {Pipeline} und fügen Sie eine neue {Aufgabe} Aufgabe {vor} Ihre Build-Task
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.sentence.pipeline	Pipeline	Pipeline
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.sentence.task	Prepare Analysis Configuration	Bereiten Analysekonfiguration
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.sentence.before	before	Vor
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.endpoint.sentence	Select the {endpoint} you created in Step 2	Wählen Sie den Endpunkt {} Sie in Schritt 2
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.endpoint.sentence.endpoint	SonarQube server endpoint	Sonarqube Server-Endpunkt
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.run_analysis	Under {section}, select {run_analysis_value}	Unter {section}, wählen Sie {run_analysis_value}
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.run_analysis.section	Choose the way to run the analysis	Wählen Sie den Weg, um die Analyse zu starten
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.run_analysis.values.dotnet	Integrate with MSBuild	Integration mit MSBuild
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.run_analysis.values.maven	Integrate with Maven or Gradle	Integration mit Maven oder Gradle
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.run_analysis.values.gradle	Integrate with Maven or Gradle	Integration mit Maven oder Gradle
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.run_analysis.values.cfamily	Use standalone scanner	Verwenden Standalone-Scanner
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.prepare.run_analysis.values.other	Use standalone scanner	Verwenden Standalone-Scanner
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.manual.sentence	Select the {mode} mode	Wählen Sie den {Modus} Modus
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.manual.sentence.mode	Manually provide configuration	Manuelle Konfiguration zur Verfügung stellen
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.run.sentence	Add a new {task} task {after} your build task	Fügen Sie eine neue {Aufgabe} Aufgabe {nach} Ihrer Build-Task
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.run.sentence.task	Run Code Analysis	Run-Code-Analyse
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.run.sentence.after	after	nach dem
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.run.key.sentence	In the {project_key} field, enter {key} {button}	Im {project_key} Feld, geben Sie {key} {Taste}
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.run.key.sentence.project_key	Project Key	Projekt Key
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.advanced_properties.sentence	Expand the {section} and replace the {properties} with the following snippet	{Section} Erweitern Sie den und ersetzen Sie die {Eigenschaften} mit folgenden Ausschnitt
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.advanced_properties.sentence.section	Advanced section	Abschnitt Erweitert
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.advanced_properties.sentence.properties	Additional Properties	Weitere Eigenschaften
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.java	Edit or add a new {0} task	Bearbeiten oder fügen Sie eine neue {0} Aufgabe
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.java.settings.sentence	Under {section}, check {option}	Unter {section}, {Check Option}
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.java.settings.sentence.section	Code Analysis	Codeanalyse
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.java.settings.sentence.option	Run SonarQube or SonarCloud Analysis	Run Sonarqube oder SonarCloud Analyse
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.publish_qg.sentence	Add a new {task} task to publish SonarQube's Quality Gate results on your build pipeline summary	Fügen Sie eine neue {Aufgabe} Aufgabe Sonarqube des Quality Gate Ergebnisse auf Ihrer Build-Pipeline Zusammenfassung zu veröffentlichen
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.publish_qg.info.sentence1	This task may increase your build time as your pipeline will have to wait for SonarQube to process the analysis report. It is highly recommended but optional.	Diese Aufgabe kann Ihre Build-Zeit erhöhen, wie Sie Ihre Pipeline wird warten müssen für Sonarqube den Analysebericht zu verarbeiten. Es wird dringend empfohlen, ist aber optional.
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.publish_qg.sentence.task	Publish Quality Gate Result	Veröffentlichen Quality Gate Ergebnis
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.continous_integration.sentence	Under the {tab} tab of your pipeline, check {continuous_integration} and select all the branches for which you want the SonarQube analysis to run automatically	Unter der {tab} Registerkarte Ihrer Pipeline, Scheck {continuous_integration} und wählen Sie alle Zweige, für die Sie die Sonarqube Analyse automatisch ausgeführt
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.continous_integration.sentence.tab	Triggers	Löst aus
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.continous_integration.sentence.continuous_integration	Enable continuous integration	Aktivieren Sie die kontinuierliche Integration
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.continous_integration.no_branches.sentence	Under the {tab} tab of your pipeline, check {continuous_integration} and select the main branch	Unter der {tab} Registerkarte Ihrer Pipeline, Scheck {continuous_integration} und den Hauptzweig wählen
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.continous_integration.no_branches.sentence.tab	Triggers	Löst aus
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.continous_integration.no_branches.sentence.continuous_integration	Enable continuous integration	Aktivieren Sie die kontinuierliche Integration
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.branch_protection	To make sure your Pull Requests are analyzed automatically and aren't merged when they're failing their quality gate, check out the {link}.	Um sicherzustellen, dass Ihre Pull Requests werden automatisch analysiert und werden nicht zusammengeführt, wenn sie sich nicht an ihre Qualität Tor Besuche die {link}.
onboarding.tutorial.with.azure_pipelines.BranchAnalysis.branch_protection.link	documentation	Dokumentation
onboarding.tutorial.with.azure_pipelines.SaveAndRun.title	Save and run your pipeline	Speichern und führen Sie Ihre Pipeline
onboarding.tutorial.with.azure_pipelines.SaveAndRun.commit	Save your pipeline and push your code to start the analysis	Speichern Sie Ihre Pipeline und schieben Sie Ihren Code, um die Analyse zu starten
onboarding.tutorial.with.azure_pipelines.SaveAndRun.commit.why	Each new push you make on your branches will trigger a new analysis in SonarQube	Jeder neue Push Sie auf Ihre Filialen machen eine neue Analyse in Sonarqube auslösen
onboarding.tutorial.with.azure_pipelines.SaveAndRun.refresh	This page will then refresh with your analysis results	Diese Seite wird dann aktualisieren mit Ihren Analyseergebnissen
onboarding.tutorial.with.azure_pipelines.SaveAndRun.refresh.why	If this page doesn't refresh after a while, please double-check your pipeline configuration	Wenn diese Seite nicht nach einer gewissen Zeit nicht aktualisieren, Prüfe Ihre Pipeline-Konfiguration
onboarding.tutorial.with.azure_pipelines.SaveAndRun.then	{what} Checkout our {link} to make sure SonarQube analyze and decorate all of your Pull Requests	{Was} Kasse {link}, um sicherzustellen, Sonarqube analysieren und alle Ihre Pull Requests dekorieren
onboarding.tutorial.with.azure_pipelines.SaveAndRun.then.what	Then what?	Dann was?
onboarding.tutorial.with.azure_pipelines.SaveAndRun.then.link	Azure integration documentation	Azure Integration Dokumentation
#------------------------------------------------------------------------------		
#		
# BRANCHES		
#		
#------------------------------------------------------------------------------		
branches.main_branch	Main Branch	Main Branch
branches.see_the_pr	See the PR	Siehe die PR
		
#------------------------------------------------------------------------------		
#		
# BRANCH-LIKE NAVIGATION		
#		
#------------------------------------------------------------------------------		
branch_like_navigation.manage	Manage branches and Pull Requests	Verwalten Niederlassungen und Pull Requests
branch_like_navigation.search_for_branch_like	Search for branches or Pull Requests...	Suchen Sie nach Filialen oder Pull Requests ...
branch_like_navigation.pull_requests	Pull Requests	Pull Requests
branch_like_navigation.orphan_pull_requests	Orphan Pull Requests	Orphan Pull Requests
branch_like_navigation.orphan_pull_requests.tooltip	When the base of a Pull Request is deleted, this Pull Request becomes orphan.	Wenn die Basis eines Pull-Request gelöscht wird, wird die Pull-Request Waise.
branch_like_navigation.for_merge_into_x_from_y	for merge into {target} from {branch}	für merge in {Ziel} von {} Zweig
branch_like_navigation.no_branch_support.title	Get the most out of SonarQube with branch and PR/MR analysis	Holen Sie sich das Beste aus Sonarqube mit Zweig und PR / MR-Analyse
branch_like_navigation.no_branch_support.title.pr	Get the most out of SonarQube with branch and PR analysis	Holen Sie sich das Beste aus Sonarqube mit Zweig und PR-Analyse
branch_like_navigation.no_branch_support.title.mr	Get the most out of SonarQube with branch and MR analysis	Holen Sie sich das Beste aus Sonarqube mit Zweig und MR-Analyse
branch_like_navigation.no_branch_support.content	With Developer Edition you can analyze every pull/merge request. You can also watch the quality of your release branches by analyzing each one individually in SonarQube.	Mit Developer Edition können Sie jede Zug- / Merge Anfrage analysieren. Sie können auch die Qualität Ihrer Release Filialen beobachten durch diese einzeln in Sonarqube zu analysieren.
branch_like_navigation.no_branch_support.content_x.pr	With Developer Edition you can analyze every pull request and get the results in {0}. You can also watch the quality of your release branches by analyzing each one individually in SonarQube.	Mit Developer Edition können Sie jede Pull-Anforderung analysieren und die Ergebnisse in {0} erhalten. Sie können auch die Qualität Ihrer Release Filialen beobachten durch diese einzeln in Sonarqube zu analysieren.
branch_like_navigation.no_branch_support.content_x.mr	With Developer Edition you can analyze every merge request and get the results in {0}. You can also watch the quality of your release branches by analyzing each one individually in SonarQube.	Mit Developer Edition können Sie jede merge Anfrage analysieren und die Ergebnisse in {0} erhalten. Sie können auch die Qualität Ihrer Release Filialen beobachten durch diese einzeln in Sonarqube zu analysieren.
